Cuenta;2020;2021;2022;2023;2024;2025
=== ACTIVOS CORRIENTES ===;;;;;;
Efectivo y equivalentes al efectivo;309530699;304312020;291681987;303683683;248899004;296539709
Otros activos financieros corrientes;140304853;195470749;263044869;67285793;76586583;45974709
Otros activos no financieros corrientes;13374381;14719104;26957000;19311851;27260507;15985896
Deudores comerciales y otras cuentas por cobrar corrientes;194021253;265490626;279770286;298892164;332831088;339778498
Cuentas por cobrar a entidades relacionadas corrientes;11875408;9419050;15062167;16161318;9901543;15299187
Inventarios;127972650;191350206;245886656;233053160;299970909;304550609
Activos por impuestos corrientes;218472;10224368;39326427;43383058;17746106;14924173
TOTAL ACTIVOS CORRIENTES;797297716;990986123;1161729392;981771027;1013195740;1033052781
;;;;;;
=== ACTIVOS NO CORRIENTES ===;;;;;;
Otros activos financieros no corrientes;162013278;296632012;94852711;93316339;169420303;164370936
Otros activos no financieros no corrientes;90242672;70861616;59672266;59412482;79746695;82913107
Cuentas por cobrar no corrientes;73862;126464;539920;371401;335723;187644
Cuentas por cobrar a entidades relacionadas no corrientes;138346;98941;109318;108021;292931;8000924
Inversiones contabilizadas método participación;87956354;91489194;92344598;91799267;85192710;87087871
Activos intangibles distintos de plusvalía;604514165;659631543;671778888;695926565;693383630;719489720
Plusvalía;98325593;118042900;129023922;122103802;144681420;137128318
Propiedades, planta y equipo;605576545;716379127;798221259;872388811;1097773572;1179385259
Activos por impuestos diferidos;1925869;1858727;2428333;4323174;7081549;8788858
TOTAL ACTIVOS NO CORRIENTES;1650766684;1955120524;1848971215;1939749862;2277908533;2387352637
;;;;;;
TOTAL ACTIVOS;2448064400;2946106647;3010700607;2921520889;3291104273;3420405418
;;;;;;
=== PASIVOS CORRIENTES ===;;;;;;
Otros pasivos financieros corrientes;38566724;47763039;367302080;52997001;110330460;62418990
Cuentas por pagar comerciales y otras cuentas por pagar corrientes;230445809;327409207;384801630;428911984;457074643;480396027
Cuentas por pagar a entidades relacionadas corrientes;39541968;56103461;90248067;96045624;94376420;102102553
Otras provisiones corrientes;1335337;1528879;1591644;1314106;1522426;2433147
Pasivos por impuestos corrientes;8828599;30512787;14615447;13411621;28369276;14207862
Provisiones corrientes por beneficios a empleados;31071019;35012072;48391806;57817800;72367187;68363971
Otros pasivos no financieros corrientes;28266730;31237834;42294460;42373160;142103582;489967
TOTAL PASIVOS CORRIENTES;378056186;529567279;949245134;692871296;906143994;730412517
;;;;;;
=== PASIVOS NO CORRIENTES ===;;;;;;
Otros pasivos financieros no corrientes;989829569;1041048972;904802058;1044325833;1066543247;1191795823
Cuentas por pagar comerciales y otras cuentas por pagar no corrientes;295279;256273;3015284;2392555;2534836;685605
Cuentas por pagar a entidades relacionadas no corrientes;10790089;11557723;10354296;6007041;380465;0
Otras provisiones no corrientes;48734936;55883527;47103783;53487790;53723373;55378062
Pasivos por impuestos diferidos;153669547;168454827;165778556;180470219;224967885;218673311
Provisiones no corrientes por beneficios a empleados;13635558;14139670;17409793;18473946;20160468;23123294
Otros pasivos no financieros no corrientes;21472048;23784817;29589051;2506795;2252985;3782958
Pasivos por impuestos no corrientes;20597;0;0;0;0;0
TOTAL PASIVOS NO CORRIENTES;1238447623;1315125809;1178052821;1307664179;1370563259;1493439053
;;;;;;
TOTAL PASIVOS;1616503809;1844693088;2127297955;2000535475;2276707253;2223851570
;;;;;;
=== PATRIMONIO ===;;;;;;
Capital emitido;270737574;270737574;270737574;270737574;270737574;270737574
Resultados retenidos;654171126;768116920;716975127;769311795;891746153;1169458993
Otras reservas;-113727586;-37289310;-132452557;-153758842;-186074535;-282797770
Patrimonio atribuible a propietarios controladora;811181114;1076143804;855260144;886290527;976409192;1157398797
Participaciones no controladoras;20379477;25269755;28142508;34694887;37987828;39155051
PATRIMONIO TOTAL;831560591;1101413559;883402652;920985414;1014397020;1196553848
;;;;;;
TOTAL PASIVOS Y PATRIMONIO;2448064400;2946106647;3010700607;2921520889;3291104273;3420405418
