;2019;2020;2021;2022;2023;2024;2025;2026
Provisorio;14;18,5;38;9;9;13,5;14,5;5
Eventual;;;;;;;;
Adicional;;;;;;;;
Definitivo;14,5;10,6;29,8;19,4;33,7;14,35;28,4;
Total Dividend;28,5;29,1;67,8;28,4;42,7;27,85;42,9;5
